Title,URL,Author,Date of Publication,Was data used?,Data Source,LA Times Category,Data Type
2020 was not supposed to by anything like 2019- and COVID made sure of it,https://www.latimes.com/california/story/2020-12-13/2020-year-review-covid-made-sure-year-wasnt-anything-like-2019,Thomas Curwen,2020-12-13,Y,"CDC, speech by Australian Prime Minister, California State University Northridge, APM Research Lab, NASCAR, LA Times",California,COVID-19
The coronavirus may have reached Los Angeles even before China announced its outbreak,https://www.latimes.com/science/story/2020-09-10/the-coronavirus-may-have-reached-los-angeles-even-before-china-announced-its-outbreak,Karen Kaplan,2020-09-10,Y,"UCLA, CDC, World Health Organization, University of Washington, Wuhan Municiple Health Commission, USC Medical Center, LA Times",Science,COVID-19
The surprising story of the salesman who became L.A.’s first known COVID-19 patient,https://www.latimes.com/world-nation/story/2020-08-21/surprising-tale-first-la-covid-19-case,"PAIGE ST. JOHN, XINLU LIANG",2020-08-21,Y,"L.A. County Public Health, Deeper Wuhan, LAX, CDC, Cedars Sinai, Gilead Sciences, New England Journal of Medicine, Arizona’s Translational Genomics Research Institute, Chinese Consulate, LA Times",California,COVID-19
L.A. was uniquely vulnerable to this COVID catastrophe. Here is what went wrong,https://www.latimes.com/california/story/2020-12-28/why-covid-19-cases-have-spread-wildly-in-l-a,"SOUMYA KARLAMANGLA, Rong-Gong Lin II",2020-12-28,Y,"L.A. County public hosptial,  LA Mayor Eric Garcetti, Dr.Kirsten Bibbins-Domingo, LA County Public Health, Dr.Grant Colfax. L.A. County, CDC, U.S. Census Bureau, UC San Francisco, Google’s COVID-19 Community Mobility Report, LA Times",California,COVID-19
California’s first two cases of coronavirus are confirmed in L.A. and Orange counties,https://www.latimes.com/california/story/2020-01-25/los-angeles-area-prepared-for-coronavirus,"BY ALEX WIGGLESWORTH, RONG-GONG LIN II, SONALI KOHLI",2020-01-26,Y,"L.A. County, UCLA, California Department of Public Health, CDC, US State Department, LA Times",California,COVID-19
Should you panic about the coronavirus from China? Here’s what the experts say,https://www.latimes.com/science/story/2020-01-24/china-coronavirus-panic,Emily Baumgaertner,2020-01-24,Y,"Brandon Brown, Dr.Michael Mina, John Hopkins, Georgetown University, WHO, CDC, LA Times",Science,COVID-19
Nearly 5 out of 6 coronavirus cases were undetected in pandemic’s early months,https://www.latimes.com/science/story/2021-06-25/nearly-5-out-of-6-coronavirus-cases-were-undetected-early-in-pandemic,Amina Khan,2020-06-25,Y,"National Institutes of Health, Science Translational Medicine, Yale University, LA Times",Science,COVID-19
"In dramatic shift, California COVID-19 hospitalizations are lowest since pandemic’s start",https://www.latimes.com/california/story/2021-05-05/california-covid-19-hospitalizations-hit-promising-new-low,"RONG-GONG LIN II, LUKE MONEY",2021-05-05,Y,"L.A. County, San Francisco Public Health, CDC, LA Times ",California,COVID-19
"L.A. County hits new milestones in coronavirus cases, deaths amid troubling increase in infections",https://www.latimes.com/california/story/2020-10-26/la-county-nears-new-milestones-in-coronavirus-cases-deaths,Luke Money,2020-10-26,Y,"LA Times, LA County Public Health, Covid Tracking Project, John Hopkins, Riverside County",California,COVID-19
"L.A. County reports 1,030 new COVID-19 cases, while hospitalizations continue dropping",https://www.latimes.com/california/story/2020-08-30/new-l-a-county-coronavirus-numbers,"LAURA NEWBERRY, ALEX WIGGLESWORTH",2020-08-30,Y,"L.A. County, LA Times, Gov. Gavin Newsom",California,COVID-19
